match_id,version,start_time,ally_hero1,ally_hero2,ally_hero3,ally_hero4,enemy_team1,enemy_team2,enemy_team3,enemy_team4,enemy_team5,
1251729484,None,1424293302,22,57,68,85,34,37,45,95,112,
711927336,None,1402417740,2,39,84,102,9,34,64,69,106,
858356283,None,1409092972,7,9,60,75,16,46,79,88,93,
450378161,None,1388611050,13,18,73,86,15,29,46,56,103,
713778545,None,1402502787,41,62,69,87,17,21,52,63,70,
479014031,None,1390371181,39,40,45,63,4,11,22,49,53,
562379303,None,1394825880,26,86,97,109,14,40,69,92,98,
805940774,None,1406691161,2,8,30,106,9,33,74,99,100,
1042476647,None,1416669594,2,31,32,37,39,44,68,75,97,
498783320,None,1391455281,12,13,37,84,23,68,72,86,99,
2180220794,16,1456503163,14,49,58,113,5,18,19,57,93,
498991723,None,1391470791,74,75,93,104,14,43,47,66,81,
545656288,None,1393775094,14,30,47,110,19,33,50,99,103,
837825972,None,1408163447,2,26,34,69,14,22,40,67,96,
2173386784,None,1456240109,17,29,50,74,11,18,75,80,98,
916236323,None,1411512289,9,43,66,93,27,41,45,57,69,
743636798,None,1403824024,16,75,92,97,1,17,48,53,86,
539045143,None,1393385257,9,23,58,98,31,35,45,51,69,
746741876,None,1403965839,9,17,29,69,33,34,74,86,93,
520771785,None,1392404447,26,53,63,74,6,17,41,86,102,
918472193,None,1411618488,31,46,53,110,40,45,64,84,106,
697054362,None,1401768530,31,86,93,109,9,13,14,35,90,
571361058,None,1395365248,13,30,92,99,4,5,56,86,100,
1245576378,None,1424129281,17,23,36,85,47,57,69,95,99,
466805458,None,1389583842,9,47,87,98,6,15,48,51,104,
550031678,None,1394071769,4,7,17,77,3,9,10,36,50,
440533533,None,1388036358,5,53,60,107,9,15,20,36,93,
550853921,None,1394121162,7,63,90,97,21,27,54,65,106,
1041153386,None,1416634530,5,25,49,98,31,34,44,70,79,
1242247173,None,1424035886,2,47,50,110,36,37,70,99,112,
509245643,None,1391837041,13,49,104,110,2,4,41,52,101,
866198229,None,1409442302,16,41,75,110,25,67,83,85,86,
531906346,None,1392956317,6,14,25,74,5,35,64,88,109,
811747967,None,1406953946,4,14,66,74,32,50,75,88,101,
819435310,None,1407305408,51,83,101,106,5,12,33,70,96,
815512492,None,1407116497,7,21,44,76,27,36,56,57,99,
2136285104,None,1454892601,7,18,53,106,25,31,63,75,80,
927857319,None,1411930422,38,44,83,101,5,75,82,84,93,
2149327377,None,1455374624,22,31,62,106,11,32,50,53,56,
744598087,None,1403873691,17,47,73,77,2,9,18,30,101,
456897966,None,1388972310,15,48,79,98,31,47,67,68,99,
1247740736,None,1424186767,32,59,75,99,2,22,37,57,85,
462071959,None,1389295106,7,14,56,99,20,53,63,73,93,
2145177084,None,1455224404,23,49,60,88,8,11,44,73,75,
511755784,None,1391925909,25,56,76,98,14,48,53,62,74,
558803634,None,1394595926,37,51,65,77,5,19,53,74,98,
487260585,None,1390855934,5,17,51,104,1,34,66,86,107,
775983244,None,1405353910,31,69,101,104,34,35,77,86,109,
625542073,None,1398356222,18,50,74,96,67,86,92,93,106,
738351149,None,1403579845,34,44,68,88,6,21,27,51,91,
541057751,None,1393513960,8,26,27,74,4,17,48,83,98,
2116359395,None,1454178725,43,51,68,69,7,70,73,88,105,
520519886,None,1392393641,39,51,67,84,1,9,53,74,75,
538737978,None,1393354934,2,8,46,87,3,9,11,50,77,
785089381,None,1405782626,7,59,90,106,8,21,53,62,74,
656917363,None,1399922038,9,13,19,82,5,10,16,43,94,
547327629,None,1393881815,5,9,11,86,45,54,73,74,90,
687872487,None,1401393798,2,35,50,86,29,60,61,72,79,
668296519,None,1400473002,21,33,57,64,8,17,53,75,102,
815548136,None,1407119169,40,51,79,106,27,29,41,46,75,
467555753,None,1389630550,7,36,53,67,50,51,69,73,74,
546244909,None,1393818956,1,5,63,86,21,25,40,49,55,
2126593047,None,1454563625,1,11,62,64,8,14,16,25,71,
468096192,None,1389673863,20,34,57,94,11,66,67,71,86,
624246662,None,1398276993,74,90,93,106,7,27,45,109,110,
526727669,None,1392669717,5,26,44,88,9,17,27,74,86,
544502347,None,1393713375,5,58,81,104,15,26,34,53,97,
649774100,None,1399583468,5,16,17,104,21,69,70,74,86,
519260019,None,1392314634,29,40,79,109,10,58,74,86,102,
743650612,None,1403825180,5,9,30,93,3,4,53,62,72,
530139898,None,1392867891,9,14,44,104,21,39,62,80,95,
465426945,None,1389501990,51,67,102,104,12,14,21,61,74,
899787688,None,1410845415,9,37,67,98,25,29,35,40,106,
474479767,None,1390078457,9,19,21,90,33,47,73,81,88,
456955947,None,1388977771,28,36,68,77,5,8,11,73,99,
857894447,None,1409070795,30,47,71,109,14,44,53,61,70,
896862767,None,1410709453,7,64,93,96,9,11,41,101,104,
809289374,None,1406834233,9,15,68,84,2,6,21,62,86,
644310401,None,1399293850,2,25,39,51,26,31,74,93,101,
645166197,None,1399335037,37,68,75,101,4,11,53,90,109,
495142175,None,1391268838,26,31,40,46,11,33,47,86,98,
561273260,None,1394768197,5,8,54,110,2,9,19,44,104,
727778443,None,1403145127,11,29,30,51,10,21,23,27,69,
2131333412,None,1454730383,1,25,28,72,13,14,20,57,87,
1251989976,None,1424303930,37,85,99,112,22,30,34,35,77,
837678911,None,1408154408,29,30,32,106,7,53,62,71,77,
486214638,None,1390801032,39,53,70,74,5,8,9,34,80,
650865495,None,1399646150,17,63,86,104,45,70,88,93,97,
541114309,None,1393516403,7,13,86,99,5,16,21,74,109,
632415469,None,1398702412,30,65,102,106,11,28,40,74,107,
440489593,None,1388029288,52,62,67,106,3,9,14,51,88,
477598569,None,1390277152,7,15,21,91,13,36,80,104,107,
458092785,None,1389037108,3,9,48,99,7,11,21,23,104,
597817734,None,1396796941,2,11,19,86,3,40,77,101,106,
779936186,None,1405544732,16,87,93,97,4,6,14,75,96,
622848098,None,1398193424,9,32,58,86,18,39,41,53,92,
446141335,None,1388369611,4,11,16,64,10,14,45,74,98,
1271404514,None,1424800163,22,37,50,72,15,45,57,85,99,
868144563,None,1409523472,9,50,65,106,17,32,69,86,101,
675989605,None,1400856134,17,77,79,103,41,46,65,91,101,
624097804,None,1398270437,43,51,83,87,2,11,27,28,110,
676682225,None,1400882687,8,34,70,77,10,16,38,44,59,
738454366,None,1403586951,21,53,86,90,11,41,62,74,83,
469098444,None,1389733457,47,53,62,90,9,44,64,97,104,
803904555,None,1406597900,26,75,80,106,21,47,48,77,83,
