match_id,version,start_time,ally_hero1,ally_hero2,ally_hero3,ally_hero4,enemy_team1,enemy_team2,enemy_team3,enemy_team4,enemy_team5,banned_hero1,banned_hero2,banned_hero3,banned_hero4,banned_hero5,banned_hero6,banned_hero7,banned_hero8,banned_hero9,banned_hero10,banned_hero11,banned_hero12
1315101943,20,1426193490,65,96,3,44,110,21,7,53,35,79,2,20,99,50,77,95,86,61,30,,
1404838670,20,1429286781,65,97,20,44,7,25,101,95,110,35,91,39,8,6,87,11,2,50,86,,
922707589,20,1411757918,91,51,89,53,98,72,79,106,18,67,78,101,97,7,13,45,9,49,96,,
340056630,20,1381421807,63,65,88,55,103,69,5,102,48,89,91,54,66,95,98,72,58,92,51,,
1895618227,20,1445941023,28,56,25,85,55,106,3,72,100,61,69,31,11,39,86,50,30,68,47,,
1871545106,20,1445038842,60,69,82,31,55,62,106,30,39,71,40,91,50,18,61,87,100,58,97,,
3765492612,21,1520252084,88,8,99,74,72,78,87,77,103,3,15,66,57,7,43,17,19,46,54,44,29
2176559949,20,1456369985,29,56,74,20,58,41,86,15,63,66,107,62,72,70,13,61,25,39,106,,
409916717,20,1386198141,54,65,92,9,51,40,39,63,102,91,103,76,3,5,38,13,48,47,53,,
403718995,20,1385735507,48,76,52,51,83,91,19,40,65,53,58,54,103,5,66,21,13,33,62,,
517539596,20,1392225543,48,21,86,88,43,8,53,5,66,76,74,92,93,54,11,17,51,45,13,,
4192167650,21,1540755261,109,9,5,96,12,75,19,25,112,33,2,10,91,66,36,110,78,97,22,65,49
398586072,20,1385332989,63,80,3,55,76,52,51,48,86,54,92,72,103,98,33,62,1,69,15,,
3463234143,21,1506251079,40,53,86,45,112,65,35,107,18,75,36,71,88,54,39,111,30,8,74,,
3354031843,21,1501790398,11,23,70,7,86,88,45,89,98,103,65,55,75,8,12,6,74,16,46,,
1420622700,20,1429880702,51,11,25,44,26,47,52,110,2,66,35,39,65,33,87,6,95,16,97,,
1219666593,20,1423327378,61,28,20,11,35,2,57,7,8,58,65,66,91,39,26,33,31,3,17,,
3597234172,21,1512313805,80,16,29,113,34,110,112,60,54,62,107,3,19,103,57,28,66,65,15,78,47
3930343388,21,1528006754,101,48,2,72,20,35,77,43,87,52,91,3,80,37,106,51,49,100,23,4,17
2108681521,20,1453903929,80,67,13,30,18,55,60,87,43,107,65,66,74,46,22,106,50,26,19,,
3500940692,21,1507973821,63,88,53,36,68,40,54,7,29,60,66,41,31,111,69,58,18,86,49,,
352916974,20,1382305889,74,54,3,55,15,20,66,95,51,62,103,65,91,58,86,89,53,92,13,,
3748928380,21,1519400598,100,82,108,17,12,58,87,91,15,86,19,16,90,3,103,7,109,68,11,38,61
1305666549,20,1425845121,65,99,86,11,26,91,19,51,15,2,95,66,35,7,3,50,39,17,58,,
3858133933,21,1525079330,72,91,13,25,68,38,100,52,41,89,86,87,60,7,106,102,30,29,107,108,77
1941150735,20,1447754329,97,106,21,3,39,55,60,12,87,100,69,50,28,59,88,112,68,66,72,,
3792899771,21,1521646220,86,81,102,110,42,38,16,39,68,103,58,66,119,23,19,12,80,77,54,17,76
1015637900,20,1415555255,103,78,41,53,77,84,15,22,17,92,91,13,29,65,89,101,90,36,104,,
3875916706,21,1525834849,5,80,69,114,26,49,12,62,78,60,53,71,87,52,3,48,98,101,102,65,106
