Abaddon | Offlane
Alchemist | Mid , Safelane Carry
Ancient Apparition | Support ,  Mid
Anti-Mage | Safelane Carry
Arc Warden | Mid , Safelane Carry
Axe | Offlane
Bane | Support
Batrider | Offlane
Beastmaster | Offlane
Bloodseeker | Mid , Safelane Carry
Bounty Hunter | Roaming Support
Brewmaster | Offlane
Bristleback | Offlane 
Broodmother | Offlane, Mid
Centaur Warrunner | Offlane
Chaos Knight | Safelane Carry
Chen | Support
Clinkz | Safelane Carry
Clockwerk | Support , Offlane
Crystal Maiden | Support
Dark Willow | Mid , Support
Dark Seer | Offlane
Dazzle | Support
Death Prophet | Mid
Disruptor | Support
Doom | Support , Offlane 
Dragon Knight | Mid
Drow Ranger | Safelane Carry
Earth Spirit | Roaming Support
Earthshaker | Offlane , Support
Elder Titan| Support , Offlane
Ember Spirit | Mid , Safelane Carry
Enchantress | Support , Offlane
Enigma | Offlane
Faceless Void | Safelane Carry , Mid
Grimstroke | Support
Gyrocopter | Safelane Carry
Huskar | Safelane Carry
Invoker | Mid
Io | Support
Jakiro | Support
Juggernaut | Safelane Carry , Mid
Keeper of the Light | Support
Kunkka | Roaming Support , Mid
Legion Commander | Offlane
Leshrac | Support , Mid
Lich | Support
Lifestealer | Safelane Carry
Lina | Mid
Lion | Support
Lone Druid | Safelane Carry , Mid
Luna | Safelane Carry
Lycan | Safelane Carry
Magnus | Offlane ,  Mid
Medusa | Safelane Carry , Mid
Meepo | Mid , Safelane Carry
Mirana | Mid , Roaming Support
Monkey King | Roaming Support
Morphling | Safelane Carry
Naga Siren | Safelane Carry
Nature's Prophet | Offlane
Necrophos | Mid , Safelane Carry
Night Stalker | Roaming Support , Offlane
Nyx Assassin | Offlane , Support
Ogre Magi | Support
Omniknight | Offlane , Support
Oracle | Support
Outworld Devourer | Mid
Pangolier | Offlane
Phantom Assassin | Safelane Carry ,  Mid
Phantom Lancer | Safelane Carry , Mid
Phoenix | Support
Puck | Mid , Offlane
Pudge | Roaming Support
Pugna | Mid , Safelane Carry
Queen of Pain | Mid
Razor | Mid , Safelane Carry
Riki | Roaming Support
Rubick | Support
Sand King | Support , Offlane
Shadow Demon | Support
Shadow Fiend| Mid
Shadow Shaman | Support
Silencer| Support , Mid
Skywrath Mage | Support , Mid
Slardar | Support , Offlane
Slark | Safelane Carry
Sniper | Mid , Safelane Carry
Spectre | Safelane Carry
Spirit Breaker | Offlane , Roaming Support
Storm Spirit | Mid
Sven | Safelane Carry
Techies | Offlane , Support 
Templar Assassin | Mid
Terrorblade | Safelane Carry , Mid
Tidehunter | Offlane
Timbersaw | Safelane Carry , Mid 
Tinker | Mid
Tiny | Mid , Safelane Carry
Treant Protector | Support
Troll Warlord | Safelane Carry
Tusk | Roaming Support
Underlord | Offlane
Undying | Offlane , Support
Ursa| Safelane Carry , Mid
Vengeful Spirit | Safelane Carry , Support
Venomancer | Safelane Carry , Mid
Viper | Mid , Safelane Carry
Visage | Support , Mid
Warlock | Support
Weaver | Safelane Carry , Support
Windranger | Mid , Support
Winter Wyvern | Support
Witch Doctor | Support
Wraith King | Safelane Carry
Zeus | Mid 
